"","x"
"1139","63146"
"1140","63049"
"1141","64870"
"1142","63823"
"1143","10010"
"1144","65571"
"1145","68042"
"1146","68505"
"1147","68001"
"1148","45381"
"1149","20629"
"1150","44707"
"1151","58423"
"1152","44074"
"1153","17229"
"1154","17061"
"1155","15458"
"1156","64120"
"1157","39156"
"1158","63040"
"1159","63740"
"1160","04739"
"1161","59482"
"1162","59401"
"1163","58442"
"1164","45732"
"1165","15205"
"1166","16881"
"1167","65011"
"1168","64019"
"1169","65483"
"1170","68335"
"1171","04497"
"1172","68856"
"1173","14560"
"1174","10001"
"1175","12042"
"1176","13164"
"1177","17847"
"1178","17812"
"1179","18106"
"1180","65339"
"1181","65647"
"1182","04434"
"1183","65564"
"1184","02874"
"1185","65764"
"1186","12197"
"1187","12777"
"1188","13756"
"1189","11804"
"1190","15801"
"1191","15551"
"1192","63441"
"1193","04448"
"1194","02814"
"1195","03816"
"1196","03243"
"1197","27544"
"1198","28401"
"1199","12992"
"1200","13402"
"1201","12745"
"1202","15360"
"1203","15734"
"1204","04847"
"1205","15429"
"1206","17870"
"1207","03301"
"1208","68854"
"1209","03244"
"1210","68742"
"1211","89117"
"1212","27316"
"1213","27557"
"1214","13809"
"1215","02584"
"1216","73020"
"1217","74333"
"1218","44127"
"1219","45242"
"1220","45734"
"1221","45429"
"1222","02859"
"1223","03063"
"1224","03103"
"1225","08804"
"1226","62231"
"1227","02462"
"1228","68786"
"1229","07103"
"1230","12043"
"1231","12783"
"1232","74724"
"1233","44818"
"1234","43209"
"1235","43735"
"1236","44634"
"1237","45204"
"1238","48234"
"1239","43604"
"1240","43824"
"1241","68736"
"1242","08091"
"1243","03273"
"1244","07801"
"1245","07107"
"1246","03246"
"1247","12928"
"1248","27455"
"1249","01079"
"1250","12567"
"1251","74422"
"1252","74873"
"1253","44506"
"1254","44676"
"1255","45851"
"1256","29212"
"1257","15047"
"1258","03241"
"1259","07076"
"1260","49866"
"1261","03751"
"1262","08558"
"1263","87110"
"1264","07457"
"1265","28373"
"1266","28213"
"1267","27616"
"1268","74361"
"1269","73570"
"1270","73058"
"1271","48049"
"1272","94928"
"1273","49818"
"1274","48032"
"1275","55405"
"1276","87940"
"1277","88027"
"1278","07029"
"1279","07970"
"1280","08805"
"1281","07621"
"1282","48063"
"1283","12455"
"1284","27350"
"1285","27606"
"1286","74839"
"1287","43788"
"1288","97127"
"1289","55396"
"1290","56277"
"1291","56301"
"1292","13041"
"1293","48667"
"1294","13207"
"1295","11753"
"1296","12977"
"1297","14030"
"1298","28670"
"1299","28080"
"1300","97362"
"1301","17360"
"1302","15827"
"1303","97218"
"1304","56710"
"1305","55387"
"1306","56098"
"1307","48822"
"1308","48884"
"1309","13478"
"1310","13339"
"1311","28455"
"1312","27830"
"1313","97352"
"1314","15612"
"1315","55603"
"1316","97489"
"1317","55003"
"1318","55333"
"1319","56534"
"1320","10941"
"1321","12549"
"1322","28708"
"1323","97022"
"1324","97419"
"1325","55008"
"1326","55431"
"1327","56658"
"1328","56576"
"1329","10567"
"1330","13502"
"1331","12787"
"1332","27229"
"1333","58425"
"1334","97106"
"1335","73638"
"1336","56386"
"1337","60104"
"1338","55905"
"1339","39114"
"1340","38736"
"1341","39174"
