,ClimateZone,Case,PUE_quantiles,WUE_quantiles,CoolingSystem
112,4C,0,"[1.0808079085145568, 1.1140601810668946, 1.13857595, 1.16319625, 1.19739239]","[0.0, 0.004275497049093175, 0.00752969435416155, 0.01134586031548675, 0.01850514588877554]",Airside economizer& adiabatic cooling (air-cooled chiller)
113,4C,1,"[1.06997352, 1.097525425, 1.1232231000000001, 1.1523558707927704, 1.181916845]","[0.0, 0.06733274832367894, 0.12847588956356043, 0.22049682959914205, 0.4763540670275688]",Airside economizer& adiabatic cooling (water-cooled chiller)
114,4C,10,"[1.85157208, 1.9407641249999998, 2.0324541, 2.162954213243866, 2.30673905]","[0.02523014172911641, 0.04194358177483078, 0.0635753199458122, 0.08536465093493455, 0.10434529222548004]",Direct expansion system
115,4C,11,"[1.637251145, 1.746908575, 1.83295065, 1.964971025, 2.13341715]","[0.023967064358293978, 0.0397539529949426, 0.0600959155708551, 0.08075139485299584, 0.09765939787030213]",Direct expansion system
116,4C,12,"[1.45807735, 1.5576203, 1.6357722, 1.7152983687980652, 1.8557529799999999]","[0.008002920122817125, 0.01598895527422425, 0.022619639523327302, 0.029844117350876297, 0.04504787996411316]",Airside economizer (direct expansion system)
117,4C,13,"[1.282439835, 1.3563779249999999, 1.41898265, 1.477742775, 1.5751008999999998]","[0.00385213630506764, 0.00770642084535205, 0.011190038640052049, 0.017065811902284574, 0.031234321463853024]",Airside economizer (direct expansion system)
118,4C,17,"[1.34627451, 1.409934025, 1.4741167000000002, 1.545808625, 1.63900864]","[0.02362587628886095, 0.039852576330304104, 0.05983261764049525, 0.08065921068191527, 0.09792367257177821]",Dry cooler (air-cooled chiller)
119,4C,3,"[1.3000899, 1.35496435, 1.40880175, 1.463187675, 1.5237667699708557]","[0.17184420228004454, 0.3503152802586555, 0.5260529816150665, 0.7768373936414719, 1.188841515779495]",Airside economizer& (water-cooled chiller)
120,4C,4,"[1.259092345, 1.3103148, 1.361217848574066, 1.4191933081089019, 1.483251365]","[2.131632590293884, 2.318711042404175, 2.486250400543213, 2.666422128677368, 2.9067545771598815]",Waterside economizer& (water-cooled chiller)
121,4C,5,"[1.397977695, 1.44614325, 1.5065399, 1.5677772150981903, 1.634708615]","[2.470730948448181, 2.669114053249359, 2.856393575668335, 3.026670157909393, 3.3199655532836916]",Water-cooled chiller
122,4C,6,"[1.335128215, 1.4088952000000001, 1.4677447, 1.5352523, 1.6587465099999998]","[2.460210539538833e-05, 0.00636519584804765, 0.0107129863463342, 0.01761571364477275, 0.03802932519465681]",Airside economizer& (air-cooled chiller)
123,4C,7,"[1.6239433639685823, 1.71167725, 1.8174754, 1.94517905, 2.175179592979126]","[0.023635114170610864, 0.03943625185638665, 0.05988563410937785, 0.08106449805200097, 0.09773864634335039]",Air-cooled chiller
124,4C,8,"[1.5659620349999999, 1.6327577, 1.68259695, 1.7402250499999998, 1.8280806096533966]","[2.738513243198395, 2.96921706199646, 3.1782511472702026, 3.388513207435608, 3.7085977911949155]",Water-cooled chiller
125,4C,9,"[1.8042611049272919, 1.884372925, 1.96697375, 2.1255220500000003, 2.3785265200000003]","[0.02490084525197742, 0.04214082844555375, 0.06345703080296515, 0.08622363768517971, 0.10358141250908369]",Air-cooled chiller
126,5A,0,"[1.0990046599999999, 1.13528575, 1.1676655, 1.1950804750000001, 1.23010518]","[0.005968539370223841, 0.0113378409296274, 0.01524836756289005, 0.019672020338475676, 0.02811425598338239]",Airside economizer& adiabatic cooling (air-cooled chiller)
127,5A,1,"[1.0788726350000002, 1.110276925, 1.1400548499999998, 1.170494425, 1.2017983]","[0.15092343315482137, 0.3044808059930801, 0.4269605427980423, 0.5647331774234772, 0.8228423833847038]",Airside economizer& adiabatic cooling (water-cooled chiller)
128,5A,10,"[1.85761811, 1.9426326, 2.0286720999999996, 2.16639695, 2.306902165]","[0.02521530296653503, 0.042040168307721545, 0.06345401331782335, 0.08562824130058283, 0.1033550731837749]",Direct expansion system
129,5A,11,"[1.63602199, 1.746793225, 1.8362184, 1.9692675, 2.14147534]","[0.02375183710828416, 0.039713760837912504, 0.0599504169076681, 0.080560564994812, 0.09800849109888068]",Direct expansion system
130,5A,12,"[1.652265165, 1.7452864, 1.8190374, 1.905569825, 2.053515145]","[0.01703411675989624, 0.027300919871777275, 0.04067278094589705, 0.052728472277522045, 0.07096407264471052]",Airside economizer (direct expansion system)
